hex,ad,ogrenci,etiket
#E63946,kırmızı,ogrenci01,enerjik
#F1FAEE,kırık beyaz,ogrenci01,enerjik
#A8DADC,açık turkuaz,ogrenci01,sakin
#457B9D,orta mavi,ogrenci01,ciddi
#1D3557,lacivert,ogrenci01,ciddi
#F4A261,şeftali,ogrenci01,enerjik
#2A9D8F,yeşil turkuaz,ogrenci01,sakin
#E9C46A,hardal,ogrenci01,sakin
#264653,petrol,ogrenci01,ciddi
#8D99AE,gri mavi,ogrenci01,sakin
#FFB4A2,somon,ogrenci01,ciddi
#6D6875,puslu mor,ogrenci01,sakin
#B5838D,gül kurusu,ogrenci01,sakin
#606C38,zeytin,ogrenci01,enerjik
#283618,koyu yeşil,ogrenci01,ciddi
#BC6C25,tarçın,ogrenci01,ciddi
#DDA15E,bal,ogrenci01,sakin
#FEFAE0,krem,ogrenci01,enerjik
#9A031E,bordo,ogrenci01,enerjik
#0F4C5C,derin mavi,ogrenci01,ciddi
#E63946,kırmızı,ogrenci02,enerjik
#F1FAEE,kırık beyaz,ogrenci02,sakin
#A8DADC,açık turkuaz,ogrenci02,sakin
#457B9D,orta mavi,ogrenci02,sakin
#1D3557,lacivert,ogrenci02,ciddi
#F4A261,şeftali,ogrenci02,enerjik
#2A9D8F,yeşil turkuaz,ogrenci02,sakin
#E9C46A,hardal,ogrenci02,enerjik
#264653,petrol,ogrenci02,ciddi
#8D99AE,gri mavi,ogrenci02,ciddi
#FFB4A2,somon,ogrenci02,enerjik
#6D6875,puslu mor,ogrenci02,sakin
#B5838D,gül kurusu,ogrenci02,enerjik
#606C38,zeytin,ogrenci02,enerjik
#283618,koyu yeşil,ogrenci02,sakin
#BC6C25,tarçın,ogrenci02,ciddi
#DDA15E,bal,ogrenci02,sakin
#FEFAE0,krem,ogrenci02,ciddi
#9A031E,bordo,ogrenci02,enerjik
#0F4C5C,derin mavi,ogrenci02,sakin
#E63946,kırmızı,ogrenci03,enerjik
#F1FAEE,kırık beyaz,ogrenci03,sakin
#A8DADC,açık turkuaz,ogrenci03,sakin
#457B9D,orta mavi,ogrenci03,sakin
#1D3557,lacivert,ogrenci03,ciddi
#F4A261,şeftali,ogrenci03,ciddi
#2A9D8F,yeşil turkuaz,ogrenci03,enerjik
#E9C46A,hardal,ogrenci03,enerjik
